Name;Status;Einwohner
;;Zensus
;;09.05.11
Landkreis Rostock;Landkreis;212.559
Ludwigslust-Parchim;Landkreis;214.372
Mecklenburgische Seenplatte;Landkreis;267.805
Nordwestmecklenburg;Landkreis;156.635
Rostock;Stadtkreis;200.265
Schwerin;Stadtkreis;91.293
Vorpommern-Greifswald;Landkreis;241.541
Vorpommern-RŸgen;Landkreis;225.512
Mecklenburg-Vorpommern;Bundesland;1.609.982
