Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Mansfeld;Siedlung;Mansfeld-Südharz;3.150
Markröhlitz;Siedlung;Burgenlandkreis;550
Markwerben;Siedlung;Burgenlandkreis;610
Mehringen;Siedlung;Salzlandkreis;1.000
Meinsdorf;Siedlung;Dessau-Roßlau;1.580
Meisdorf;Siedlung;Harz;980
Meitzendorf;Siedlung;Börde;1.070
Menz;Siedlung;Jerichower Land;590
Merseburg;Siedlung;Saalekreis;32.100
Mertendorf;Siedlung;Burgenlandkreis;620
Mieste;Siedlung;Altmarkkreis Salzwedel;1.860
Miesterhorst;Siedlung;Altmarkkreis Salzwedel;630
Mildensee;Siedlung;Dessau-Roßlau;1.910
Minsleben;Siedlung;Harz;560
Möckern;Siedlung;Jerichower Land;2.960
Möhlau;Siedlung;Wittenberg;1.400
Möringen;Siedlung;Stendal;600
Morl;Siedlung;Saalekreis;560
Möser;Siedlung;Jerichower Land;2.760
Mosigkau;Siedlung;Dessau-Roßlau;2.080
Mücheln (Geiseltal);Siedlung;Saalekreis;4.700
Mühlanger;Siedlung;Wittenberg;980
Muldenstein;Siedlung;Anhalt-Bitterfeld;2.010
Müllerdorf;Siedlung;Saalekreis;1.010
Mützel;Siedlung;Jerichower Land;540
Nachterstedt;Siedlung;Salzlandkreis;1.840
Nauendorf - Merbitz;Siedlung;Saalekreis;1.680
Naumburg (Saale);Siedlung;Burgenlandkreis;23.900
Naundorf;Siedlung;Saalekreis;640
Nebra (Unstrut);Siedlung;Burgenlandkreis;2.490
Nedlitz;Siedlung;Anhalt-Bitterfeld;560
Nedlitz;Siedlung;Jerichower Land;640
Neinstedt;Siedlung;Harz;1.760
Nemsdorf;Siedlung;Saalekreis;600
Neuborna;Siedlung;Salzlandkreis;1.000
Neudorf;Siedlung;Harz;620
Neuenhofe;Siedlung;Börde;760
Neugattersleben;Siedlung;Salzlandkreis;830
Neundorf (Anhalt);Siedlung;Salzlandkreis;1.990
Niederndodeleben;Siedlung;Börde;4.070
Niegripp;Siedlung;Jerichower Land;950
Niemberg;Siedlung;Saalekreis;1.250
Nienburg (Saale);Siedlung;Salzlandkreis;3.540
Nonnewitz;Siedlung;Burgenlandkreis;620
Nordgermersleben;Siedlung;Börde;740
Nudersdorf;Siedlung;Wittenberg;770
Obernessa;Siedlung;Burgenlandkreis;730
Oberröblingen;Siedlung;Mansfeld-Südharz;1.540
Obhausen;Siedlung;Saalekreis;1.450
Ochtmersleben;Siedlung;Börde;530
Oebisfelde - Weddendorf - Wassensdorf;Siedlung;Börde;5.370
Oppin;Siedlung;Saalekreis;1.120
Oranienbaum;Siedlung;Wittenberg;3.000
Oschersleben (Bode);Siedlung;Börde;12.000
Osterburg (Altmark);Siedlung;Stendal;5.910
Osterfeld;Siedlung;Burgenlandkreis;1.180
Osterhausen;Siedlung;Mansfeld-Südharz;660
Osternienburg;Siedlung;Anhalt-Bitterfeld;1.810
Osterweddingen;Siedlung;Börde;2.020
Osterwieck;Siedlung;Harz;3.600
Ostrau;Siedlung;Saalekreis;710
Pabstorf;Siedlung;Harz;610
Parchau;Siedlung;Jerichower Land;890
Parchen;Siedlung;Jerichower Land;770
Parey;Siedlung;Jerichower Land;2.260
Pechau;Siedlung;Magdeburg;550
Peißen;Siedlung;Salzlandkreis;1.180
Petersroda;Siedlung;Anhalt-Bitterfeld;580
Plößnitz;Siedlung;Saalekreis;600
Plötzkau;Siedlung;Salzlandkreis;920
Plötzky;Siedlung;Salzlandkreis;840
Poley;Siedlung;Salzlandkreis;540
Polleben;Siedlung;Mansfeld-Südharz;910
Pömmelte;Siedlung;Salzlandkreis;500
Pouch;Siedlung;Anhalt-Bitterfeld;1.580
Pratau;Siedlung;Wittenberg;1.250
Prettin;Siedlung;Wittenberg;1.730
Pretzien;Siedlung;Salzlandkreis;900
Pretzier;Siedlung;Altmarkkreis Salzwedel;1.080
Pretzsch (Elbe);Siedlung;Wittenberg;1.190
Prittitz;Siedlung;Burgenlandkreis;960
Profen;Siedlung;Burgenlandkreis;900
Quedlinburg;Siedlung;Harz;20.000
Queis;Siedlung;Saalekreis;820
Quellendorf;Siedlung;Anhalt-Bitterfeld;880
Quenstedt;Siedlung;Mansfeld-Südharz;770
Querfurt;Siedlung;Saalekreis;6.700
Radegast;Siedlung;Anhalt-Bitterfeld;1.120
Radis;Siedlung;Wittenberg;1.190
Raguhn;Siedlung;Anhalt-Bitterfeld;2.420
Ramsin;Siedlung;Anhalt-Bitterfeld;860
Raßnitz;Siedlung;Saalekreis;930
Rathmannsdorf;Siedlung;Salzlandkreis;590
Rätzlingen;Siedlung;Börde;690
Reddeber;Siedlung;Harz;810
Reesen;Siedlung;Jerichower Land;510
Rehmsdorf;Siedlung;Burgenlandkreis;720
Reichardtswerben - Tagewerben;Siedlung;Burgenlandkreis;1.980
Reinsdorf - Dobien;Siedlung;Wittenberg;2.400
Reinstedt;Siedlung;Harz;1.120
Reuden - Draschwitz;Siedlung;Burgenlandkreis;1.230
Rieder;Siedlung;Harz;1.820
Riestedt;Siedlung;Mansfeld-Südharz;1.310
Riethnordhausen;Siedlung;Mansfeld-Südharz;510
Röblingen am See;Siedlung;Mansfeld-Südharz;1.540
Rochau;Siedlung;Stendal;600
Rodleben;Siedlung;Dessau-Roßlau;1.100
Rogätz;Siedlung;Börde;2.100
Rohrberg;Siedlung;Altmarkkreis Salzwedel;540
Rohrsheim;Siedlung;Harz;570
Roitzsch;Siedlung;Anhalt-Bitterfeld;2.420
Rösa;Siedlung;Anhalt-Bitterfeld;680
Roßla;Siedlung;Mansfeld-Südharz;2.080
Roßlau;Siedlung;Dessau-Roßlau;11.000
Rothenburg;Siedlung;Saalekreis;770
Rothenschirmbach;Siedlung;Mansfeld-Südharz;630
Rottleberode;Siedlung;Mansfeld-Südharz;1.460
Rottmersleben;Siedlung;Börde;700
Salzfurtkapelle;Siedlung;Anhalt-Bitterfeld;750
Salzwedel;Siedlung;Altmarkkreis Salzwedel;17.200
Samswegen;Siedlung;Börde;1.540
Sandau (Elbe);Siedlung;Stendal;910
Sandersdorf - Zscherndorf;Siedlung;Anhalt-Bitterfeld;7.340
Sandersleben (Anhalt);Siedlung;Mansfeld-Südharz;1.660
Sangerhausen;Siedlung;Mansfeld-Südharz;20.300
Sargstedt;Siedlung;Harz;710
Saubach;Siedlung;Burgenlandkreis;620
Schackensleben;Siedlung;Börde;720
Schadeleben;Siedlung;Salzlandkreis;670
Schafstädt;Siedlung;Saalekreis;2.020
Schartau;Siedlung;Jerichower Land;640
Schermcke;Siedlung;Börde;540
Schermen;Siedlung;Jerichower Land;1.240
Schiepzig;Siedlung;Saalekreis;1.280
Schierke;Siedlung;Harz;600
Schköna;Siedlung;Wittenberg;580
Schkopau;Siedlung;Saalekreis;3.240
Schlagenthin;Siedlung;Jerichower Land;700
Schlaitz;Siedlung;Anhalt-Bitterfeld;940
Schlanstedt;Siedlung;Harz;1.050
Schneidlingen;Siedlung;Salzlandkreis;1.090
Schochwitz - Gorsleben;Siedlung;Saalekreis;1.100
Schollene;Siedlung;Stendal;950
Schönebeck (Elbe);Siedlung;Salzlandkreis;29.000
Schönhausen (Elbe);Siedlung;Stendal;1.800
Schortewitz;Siedlung;Anhalt-Bitterfeld;650
Schraplau;Siedlung;Saalekreis;1.040
Schwanebeck;Siedlung;Harz;2.220
Schwaneberg;Siedlung;Börde;630
Schweinitz (Elster);Siedlung;Wittenberg;890
Schwemsal;Siedlung;Anhalt-Bitterfeld;580
Schwenda;Siedlung;Mansfeld-Südharz;550
Schwoitsch;Siedlung;Saalekreis;690
Seeben;Siedlung;Halle (Saale);1.160
Seegrehna;Siedlung;Wittenberg;810
Seehausen;Siedlung;Börde;1.760
Seehausen (Altmark);Siedlung;Stendal;3.720
Sennewitz;Siedlung;Saalekreis;1.470
Seyda;Siedlung;Wittenberg;900
Siebigerode;Siedlung;Mansfeld-Südharz;580
Siersleben;Siedlung;Mansfeld-Südharz;1.120
Silstedt;Siedlung;Harz;1.000
Siptenfelde;Siedlung;Harz;560
Söllichau;Siedlung;Wittenberg;830
Sommerschenburg;Siedlung;Börde;520
Spergau;Siedlung;Saalekreis;1.060
Spören;Siedlung;Anhalt-Bitterfeld;620
Stapelburg;Siedlung;Harz;1.330
Starsiedel;Siedlung;Burgenlandkreis;640
Staßfurt;Siedlung;Salzlandkreis;16.500
Stedten;Siedlung;Mansfeld-Südharz;1.800
Steigra;Siedlung;Saalekreis;520
Stendal;Siedlung;Stendal;32.200
