Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Elbeu;Siedlung;Börde;560
Elbingerode (Harz);Siedlung;Harz;3.480
Elsnigk;Siedlung;Anhalt-Bitterfeld;600
Elster (Elbe);Siedlung;Wittenberg;2.190
Emersleben;Siedlung;Harz;660
Emmeringen;Siedlung;Börde;580
Emseloh;Siedlung;Mansfeld-Südharz;550
Erdeborn;Siedlung;Mansfeld-Südharz;960
Ermlitz;Siedlung;Saalekreis;1.190
Ermsleben;Siedlung;Harz;2.320
Erxleben;Siedlung;Börde;1.270
Esperstedt;Siedlung;Saalekreis;560
Etgersleben;Siedlung;Salzlandkreis;730
Eutzsch;Siedlung;Wittenberg;520
Farnstädt;Siedlung;Saalekreis;1.150
Farsleben;Siedlung;Börde;920
Ferchland;Siedlung;Jerichower Land;600
Flechtingen;Siedlung;Börde;1.440
Fleetmark;Siedlung;Altmarkkreis Salzwedel;530
Förderstedt;Siedlung;Salzlandkreis;1.760
Frankleben;Siedlung;Saalekreis;1.370
Freckleben;Siedlung;Salzlandkreis;640
Freyburg (Unstrut);Siedlung;Burgenlandkreis;3.630
Friedersdorf - Mühlbeck;Siedlung;Anhalt-Bitterfeld;2.480
Friedrichsbrunn;Siedlung;Harz;940
Frose;Siedlung;Salzlandkreis;1.430
Gardelegen;Siedlung;Altmarkkreis Salzwedel;9.870
Gatersleben;Siedlung;Salzlandkreis;2.210
Gatterstädt;Siedlung;Saalekreis;660
Genthin;Siedlung;Jerichower Land;11.100
Gerbitz;Siedlung;Salzlandkreis;610
Gerbstedt;Siedlung;Mansfeld-Südharz;2.960
Gernrode - Bad Suderode;Siedlung;Harz;5.600
Gerwisch;Siedlung;Jerichower Land;2.630
Geusa - Atzendorf;Siedlung;Saalekreis;900
Giersleben;Siedlung;Salzlandkreis;970
Gleina;Siedlung;Burgenlandkreis;710
Glindenberg;Siedlung;Börde;1.300
Glöthe;Siedlung;Salzlandkreis;660
Goldbeck;Siedlung;Stendal;1.020
Gollma;Siedlung;Saalekreis;1.190
Gommern;Siedlung;Jerichower Land;5.210
Gonna;Siedlung;Mansfeld-Südharz;660
Görzig;Siedlung;Anhalt-Bitterfeld;1.130
Gossa;Siedlung;Anhalt-Bitterfeld;540
Grabow;Siedlung;Jerichower Land;520
Gräfenhainichen;Siedlung;Wittenberg;6.760
Granschütz;Siedlung;Burgenlandkreis;930
Grieben;Siedlung;Stendal;710
Griebo;Siedlung;Wittenberg;580
Gröbern;Siedlung;Anhalt-Bitterfeld;580
Gröbers;Siedlung;Saalekreis;700
Gröbzig;Siedlung;Anhalt-Bitterfeld;2.350
Gröningen;Siedlung;Börde;1.680
Großalsleben;Siedlung;Börde;820
Groß Ammensleben;Siedlung;Börde;1.270
Groß Börnecke;Siedlung;Salzlandkreis;1.520
Groß Gräfendorf;Siedlung;Saalekreis;510
Großkayna;Siedlung;Saalekreis;1.080
Großkorbetha;Siedlung;Burgenlandkreis;1.730
Großkugel;Siedlung;Saalekreis;2.100
Großkühnau;Siedlung;Dessau-Roßlau;930
Großmühlingen;Siedlung;Salzlandkreis;960
Großörner;Siedlung;Mansfeld-Südharz;1.770
Großpaschleben;Siedlung;Anhalt-Bitterfeld;650
Groß Quenstedt;Siedlung;Harz;960
Groß Rodensleben;Siedlung;Börde;820
Groß Rosenburg;Siedlung;Salzlandkreis;1.310
Groß Santersleben;Siedlung;Börde;1.030
Groß Schierstedt;Siedlung;Salzlandkreis;570
Gröst;Siedlung;Saalekreis;520
Grünewalde;Siedlung;Salzlandkreis;540
Güntersberge;Siedlung;Harz;760
Günthersdorf;Siedlung;Saalekreis;1.270
Güsen;Siedlung;Jerichower Land;1.920
Güsten;Siedlung;Salzlandkreis;3.270
Gutenberg;Siedlung;Saalekreis;1.120
Gutenswegen;Siedlung;Börde;700
Güterglück;Siedlung;Anhalt-Bitterfeld;640
Hadmersleben;Siedlung;Börde;1.680
Hakeborn;Siedlung;Salzlandkreis;730
Halberstadt;Siedlung;Harz;34.200
Haldensleben;Siedlung;Börde;16.000
Halle (Saale);Siedlung;Halle (Saale);226.200
Hamersleben;Siedlung;Börde;840
Harbke;Siedlung;Börde;1.460
Harsleben;Siedlung;Harz;2.210
Harzgerode;Siedlung;Harz;3.520
Hasselfelde;Siedlung;Harz;2.090
Hausneindorf;Siedlung;Harz;720
Havelberg;Siedlung;Stendal;5.110
Hayn (Harz);Siedlung;Mansfeld-Südharz;520
Hecklingen;Siedlung;Salzlandkreis;3.520
Hedersleben;Siedlung;Harz;1.440
Hedersleben;Siedlung;Mansfeld-Südharz;620
Heeren;Siedlung;Stendal;560
Heiligenthal;Siedlung;Mansfeld-Südharz;550
Heimburg;Siedlung;Harz;830
Helbra;Siedlung;Mansfeld-Südharz;4.250
Hergisdorf;Siedlung;Mansfeld-Südharz;1.700
Hermsdorf - Hohenwarsleben;Siedlung;Börde;3.180
Herrengosserstedt;Siedlung;Burgenlandkreis;570
Hessen;Siedlung;Harz;1.290
Hettstedt;Siedlung;Mansfeld-Südharz;14.000
Heudeber;Siedlung;Harz;1.010
Hohendodeleben;Siedlung;Börde;1.640
Hohenerxleben;Siedlung;Salzlandkreis;790
Hohenmölsen;Siedlung;Burgenlandkreis;7.230
Hohenthurm;Siedlung;Saalekreis;1.640
Hohenwarthe;Siedlung;Jerichower Land;1.290
Hohenweiden;Siedlung;Saalekreis;510
Höhnstedt;Siedlung;Saalekreis;1.490
Holdenstedt;Siedlung;Mansfeld-Südharz;680
Holzdorf;Siedlung;Wittenberg;790
Hordorf;Siedlung;Börde;640
Hornhausen;Siedlung;Börde;1.610
Hörsingen;Siedlung;Börde;580
Horstdorf;Siedlung;Wittenberg;620
Hötensleben;Siedlung;Börde;1.950
Hoym;Siedlung;Salzlandkreis;2.450
Hundisburg;Siedlung;Börde;860
Hüttenrode;Siedlung;Harz;1.010
Iden;Siedlung;Stendal;590
Ilberstedt;Siedlung;Salzlandkreis;980
Ilsenburg (Harz);Siedlung;Harz;5.720
Immekath;Siedlung;Altmarkkreis Salzwedel;520
Irxleben;Siedlung;Börde;2.280
Jahrstedt;Siedlung;Altmarkkreis Salzwedel;590
Jarchau;Siedlung;Stendal;530
Jävenitz;Siedlung;Altmarkkreis Salzwedel;980
Jerichow;Siedlung;Jerichower Land;1.620
Jersleben;Siedlung;Börde;600
Jessen (Elster);Siedlung;Wittenberg;6.150
Jeßnitz (Anhalt);Siedlung;Anhalt-Bitterfeld;3.110
Jübar;Siedlung;Altmarkkreis Salzwedel;630
Jüdenberg;Siedlung;Wittenberg;550
Kakau;Siedlung;Wittenberg;570
Kakerbeck;Siedlung;Altmarkkreis Salzwedel;620
Kalbe (Milde);Siedlung;Altmarkkreis Salzwedel;2.350
Kanena;Siedlung;Halle (Saale);810
Kayna;Siedlung;Burgenlandkreis;1.010
Kelbra (Kyffhäuser);Siedlung;Mansfeld-Südharz;2.290
Kemberg;Siedlung;Wittenberg;2.180
Kienberge;Siedlung;Wittenberg;500
Kläden;Siedlung;Stendal;640
Kleckewitz;Siedlung;Anhalt-Bitterfeld;1.100
Klein Ammensleben;Siedlung;Börde;690
