Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Herrnburg;Siedlung;Nordwestmecklenburg;3.160
Hohendorf;Siedlung;Vorpommern-Greifswald;590
Hohenfelde;Siedlung;Landkreis Rostock;660
Hohen Viecheln;Siedlung;Nordwestmecklenburg;500
Hohen Wangelin;Siedlung;Mecklenburgische Seenplatte;520
Holthusen;Siedlung;Ludwigslust-Parchim;520
Hornstorf;Siedlung;Nordwestmecklenburg;600
Ihlenfeld;Siedlung;Mecklenburgische Seenplatte;840
Jarmen;Siedlung;Vorpommern-Greifswald;2.550
Jatznick;Siedlung;Vorpommern-Greifswald;1.200
Jördenstorf;Siedlung;Landkreis Rostock;610
Jürgenstorf;Siedlung;Mecklenburgische Seenplatte;780
Kalkhorst;Siedlung;Nordwestmecklenburg;520
Karlsburg;Siedlung;Vorpommern-Greifswald;830
Karlshagen;Siedlung;Vorpommern-Greifswald;3.110
Karow;Siedlung;Nordwestmecklenburg;510
Karow;Siedlung;Ludwigslust-Parchim;600
Kavelstorf;Siedlung;Landkreis Rostock;640
Kemnitz;Siedlung;Vorpommern-Greifswald;620
Kessin;Siedlung;Landkreis Rostock;650
Kirchdorf;Siedlung;Nordwestmecklenburg;1.340
Kirch Jesar;Siedlung;Ludwigslust-Parchim;530
Klausdorf;Siedlung;Vorpommern-Rügen;600
Klein Rogahn;Siedlung;Ludwigslust-Parchim;670
Klink;Siedlung;Mecklenburgische Seenplatte;630
Klockenhagen;Siedlung;Vorpommern-Rügen;540
Klütz;Siedlung;Nordwestmecklenburg;2.360
Koserow;Siedlung;Vorpommern-Greifswald;1.710
Kösterbeck;Siedlung;Landkreis Rostock;1.820
Krakow am See;Siedlung;Landkreis Rostock;2.460
Krien;Siedlung;Vorpommern-Greifswald;520
Kritzkow;Siedlung;Landkreis Rostock;630
Kritzmow;Siedlung;Landkreis Rostock;2.090
Kronskamp;Siedlung;Landkreis Rostock;510
Kröpelin;Siedlung;Landkreis Rostock;3.420
Kröslin;Siedlung;Vorpommern-Greifswald;720
Kühlungsborn;Siedlung;Landkreis Rostock;7.150
Kuhstorf;Siedlung;Ludwigslust-Parchim;740
Laage;Siedlung;Landkreis Rostock;2.890
Lalendorf;Siedlung;Landkreis Rostock;840
Lambrechtshagen;Siedlung;Landkreis Rostock;800
Lassan;Siedlung;Vorpommern-Greifswald;1.310
Lauterbach;Siedlung;Vorpommern-Rügen;640
Leezen;Siedlung;Ludwigslust-Parchim;1.030
Leopoldshagen;Siedlung;Vorpommern-Greifswald;680
Lichtenhagen;Siedlung;Landkreis Rostock;1.560
Liepgarten;Siedlung;Vorpommern-Greifswald;600
Löcknitz;Siedlung;Vorpommern-Greifswald;3.030
Loddin;Siedlung;Vorpommern-Greifswald;930
Lohmen;Siedlung;Landkreis Rostock;540
Loitz;Siedlung;Vorpommern-Greifswald;2.780
Lübesse;Siedlung;Ludwigslust-Parchim;640
Lubmin;Siedlung;Vorpommern-Greifswald;1.990
Lübow;Siedlung;Nordwestmecklenburg;800
Lübstorf;Siedlung;Nordwestmecklenburg;1.040
Lübtheen;Siedlung;Ludwigslust-Parchim;2.590
Lübz;Siedlung;Ludwigslust-Parchim;5.470
