Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Fohrde;Siedlung;Potsdam-Mittelmark;830
Forst (Lausitz);Siedlung;Spree-Neiße;17.800
Frankfurt (Oder);Siedlung;Frankfurt (Oder);53.500
Frauendorf;Siedlung;Oberspreewald-Lausitz;690
Fredersdorf;Siedlung;Märkisch-Oderland;9.820
Freienhufen;Siedlung;Oberspreewald-Lausitz;510
Freyenstein;Siedlung;Ostprignitz-Ruppin;840
Friedersdorf;Siedlung;Dahme-Spreewald;1.770
Friedland;Siedlung;Oder-Spree;660
Friedrichshain;Siedlung;Spree-Neiße;600
Friedrichsthal;Siedlung;Oberhavel;1.750
Friedrichswalde;Siedlung;Barnim;640
Friesack;Siedlung;Havelland;1.960
Fünfeichen;Siedlung;Oder-Spree;980
Fürstenberg/Havel;Siedlung;Oberhavel;3.950
Fürstenwalde/Spree;Siedlung;Oder-Spree;29.600
Fürstenwalde-West;Siedlung;Oder-Spree;1.420
Fürstenwerder;Siedlung;Uckermark;640
Gallun;Siedlung;Dahme-Spreewald;620
Gartenstadt Großziethen;Siedlung;Dahme-Spreewald;4.240
Gartz (Oder);Siedlung;Uckermark;1.810
Geltow;Siedlung;Potsdam-Mittelmark;2.940
Genshagen;Siedlung;Teltow-Fläming;1.280
Germendorf;Siedlung;Oberhavel;1.790
Gerswalde;Siedlung;Uckermark;540
Gielsdorf;Siedlung;Märkisch-Oderland;620
Gildenhall;Siedlung;Ostprignitz-Ruppin;1.940
Glau;Siedlung;Teltow-Fläming;500
Glienick;Siedlung;Teltow-Fläming;1.010
Glienicke/Nordbahn;Siedlung;Oberhavel;11.000
Glöwen;Siedlung;Prignitz;1.050
Göhlsdorf;Siedlung;Potsdam-Mittelmark;1.060
Golßen;Siedlung;Dahme-Spreewald;1.480
Golzow;Siedlung;Märkisch-Oderland;710
Golzow;Siedlung;Potsdam-Mittelmark;1.200
Golzow;Siedlung;Barnim;540
Gorden;Siedlung;Elbe-Elster;540
Gorgast;Siedlung;Märkisch-Oderland;530
Göritz;Siedlung;Uckermark;610
Görzke;Siedlung;Potsdam-Mittelmark;1.060
Gosen;Siedlung;Oder-Spree;1.480
Göttin;Siedlung;Brandenburg an der Havel;740
Götz;Siedlung;Potsdam-Mittelmark;700
Gramzow;Siedlung;Uckermark;1.010
Gransee;Siedlung;Oberhavel;3.950
Grebs;Siedlung;Potsdam-Mittelmark;590
Gröden;Siedlung;Elbe-Elster;1.490
Großbeeren;Siedlung;Teltow-Fläming;5.150
Groß Breesen;Siedlung;Spree-Neiße;680
Groß Glienicke;Siedlung;Potsdam;3.930
Großkmehlen;Siedlung;Oberspreewald-Lausitz;940
Groß Kölzig;Siedlung;Spree-Neiße;720
Groß Köris;Siedlung;Dahme-Spreewald;1.000
Großkoschen;Siedlung;Oberspreewald-Lausitz;960
Groß Kreutz (Havel);Siedlung;Potsdam-Mittelmark;1.560
Groß Lindow;Siedlung;Oder-Spree;1.510
Groß Machnow;Siedlung;Teltow-Fläming;1.260
Groß Pankow (Prignitz);Siedlung;Prignitz;540
Großräschen;Siedlung;Oberspreewald-Lausitz;7.630
Groß Schacksdorf-Simmersdorf;Siedlung;Spree-Neiße;700
Groß Schönebeck;Siedlung;Barnim;1.450
Groß Schulzendorf;Siedlung;Teltow-Fläming;540
Großthiemig;Siedlung;Elbe-Elster;1.140
Großziethen;Siedlung;Dahme-Spreewald;2.410
Grüneberg - Kreuzberg;Siedlung;Oberhavel;1.160
Grünewalde;Siedlung;Oberspreewald-Lausitz;1.260
Grünheide (Mark);Siedlung;Oder-Spree;1.300
Guben;Siedlung;Spree-Neiße;17.200
Guhrow (Góry);Siedlung;Spree-Neiße;530
Gusow;Siedlung;Märkisch-Oderland;690
Gussow - Bindow-Süd;Siedlung;Dahme-Spreewald;1.110
Guteborn;Siedlung;Oberspreewald-Lausitz;560
Gutenpaaren;Siedlung;Havelland;630
Güterfelde;Siedlung;Potsdam-Mittelmark;850
Haida;Siedlung;Elbe-Elster;570
Halbe;Siedlung;Dahme-Spreewald;1.140
Hammer;Siedlung;Oberhavel;620
Hartmannsdorf;Siedlung;Dahme-Spreewald;590
Hartmannsdorf;Siedlung;Oder-Spree;560
Heiligengrabe;Siedlung;Ostprignitz-Ruppin;850
Heinersdorf;Siedlung;Oder-Spree;810
Hennickendorf;Siedlung;Märkisch-Oderland;2.890
Hennigsdorf;Siedlung;Oberhavel;24.700
Herzberg (Elster);Siedlung;Elbe-Elster;6.880
Herzberg (Mark);Siedlung;Ostprignitz-Ruppin;640
Herzfelde;Siedlung;Märkisch-Oderland;1.740
Hirschfeld;Siedlung;Elbe-Elster;1.340
Hohenbocka;Siedlung;Oberspreewald-Lausitz;950
Hohenleipisch;Siedlung;Elbe-Elster;2.040
Hohennauen;Siedlung;Havelland;510
Hohen Neuendorf;Siedlung;Oberhavel;14.000
Hohenwutzen;Siedlung;Märkisch-Oderland;740
Hönow;Siedlung;Märkisch-Oderland;8.370
Hönow Nord;Siedlung;Märkisch-Oderland;500
Hörlitz;Siedlung;Oberspreewald-Lausitz;1.000
