Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Berlin;Siedlung;Berlin;3.266.400
Eichwalde (Berlin);Siedlung;Berlin;900
Karolinenhof;Siedlung;Berlin;1.760
MŸggelheim;Siedlung;Berlin;6.400
Rahnsdorf;Siedlung;Berlin;9.130
Schmšckwitz;Siedlung;Berlin;730
Stadtrandsiedlung Blankenfelde;Siedlung;Berlin;820
SteinstŸcken;Siedlung;Berlin;530
