Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Eckstedt;Siedlung;Sömmerda;600
Effelder;Siedlung;Eichsfeld;1.270
Effelder-Rauenstein - Seltendorf;Siedlung;Sonneberg;1.340
Ehrenhain;Siedlung;Altenburger Land;740
Eischleben;Siedlung;Ilm-Kreis;620
Eisenach;Siedlung;Eisenach;37.600
Eisenberg;Siedlung;Saale-Holzland-Kreis;10.400
Eisfeld;Siedlung;Hildburghausen;4.100
Elgersburg;Siedlung;Ilm-Kreis;1.210
Ellrich;Siedlung;Nordhausen;3.240
Elxleben;Siedlung;Sömmerda;2.270
Elxleben;Siedlung;Ilm-Kreis;590
Emleben;Siedlung;Gotha;750
Empfertshausen;Siedlung;Wartburgkreis;610
Erfurt;Siedlung;Erfurt;176.900
Erlau;Siedlung;Hildburghausen;1.090
Ernstroda;Siedlung;Gotha;840
Ernstthal;Siedlung;Sonneberg;680
Ershausen;Siedlung;Eichsfeld;1.010
Eschenbergen;Siedlung;Gotha;720
Esperstedt;Siedlung;Kyffhäuserkreis;520
Ettersburg;Siedlung;Weimarer Land;570
Etterwinden;Siedlung;Wartburgkreis;650
Falken;Siedlung;Wartburgkreis;980
Fambach;Siedlung;Schmalkalden-Meiningen;1.800
Faulungen;Siedlung;Unstrut-Hainich-Kreis;510
Fehrenbach;Siedlung;Hildburghausen;630
Felchta;Siedlung;Unstrut-Hainich-Kreis;760
Ferna;Siedlung;Eichsfeld;570
Finsterbergen;Siedlung;Gotha;1.360
Fischbach;Siedlung;Gotha;500
Fischbach/Rhön;Siedlung;Wartburgkreis;540
Floh-Seligenthal;Siedlung;Schmalkalden-Meiningen;4.800
Fockendorf;Siedlung;Altenburger Land;720
Föritz;Siedlung;Sonneberg;1.300
Förtha;Siedlung;Wartburgkreis;790
Frankenhain;Siedlung;Ilm-Kreis;740
Frankenheim/Rhön;Siedlung;Schmalkalden-Meiningen;1.180
Frauenprießnitz;Siedlung;Saale-Holzland-Kreis;690
Frauensee;Siedlung;Wartburgkreis;650
Frauenwald;Siedlung;Ilm-Kreis;970
Friedrichroda;Siedlung;Gotha;4.870
Friedrichslohra;Siedlung;Nordhausen;690
Friedrichswerth;Siedlung;Gotha;500
Friemar;Siedlung;Gotha;1.070
Frienstedt;Siedlung;Erfurt;1.320
Frömmstedt;Siedlung;Sömmerda;550
Gaberndorf;Siedlung;Weimar;1.490
Gangloffsömmern;Siedlung;Sömmerda;820
Gebesee;Siedlung;Sömmerda;2.040
Gefell;Siedlung;Saale-Orla-Kreis;1.260
Gehaus;Siedlung;Wartburgkreis;640
Gehlberg;Siedlung;Ilm-Kreis;520
Gehofen;Siedlung;Kyffhäuserkreis;700
Gehren;Siedlung;Ilm-Kreis;2.880
Geisa;Siedlung;Wartburgkreis;2.100
Geisleden;Siedlung;Eichsfeld;1.000
Geismar;Siedlung;Eichsfeld;880
Geismar;Siedlung;Wartburgkreis;560
Georgenthal/Thür. Wald;Siedlung;Gotha;2.200
Gera;Siedlung;Gera;85.200
Geraberg;Siedlung;Ilm-Kreis;2.410
Gerbershausen;Siedlung;Eichsfeld;630
Gernrode;Siedlung;Eichsfeld;1.600
Gerstenberg;Siedlung;Altenburger Land;520
Gerstungen;Siedlung;Wartburgkreis;3.190
Geschwenda;Siedlung;Ilm-Kreis;2.080
Gierstädt;Siedlung;Gotha;560
Gießübel;Siedlung;Hildburghausen;540
Gleichamberg;Siedlung;Hildburghausen;900
Goldbach;Siedlung;Gotha;1.690
Goldisthal;Siedlung;Sonneberg;510
Goldlauter - Heidersbach;Siedlung;Suhl;2.680
Göllingen;Siedlung;Kyffhäuserkreis;540
Golmsdorf;Siedlung;Saale-Holzland-Kreis;650
Gommla;Siedlung;Greiz;550
Görsbach;Siedlung;Nordhausen;990
Gorsleben;Siedlung;Kyffhäuserkreis;550
Gospenroda;Siedlung;Wartburgkreis;530
Gößnitz;Siedlung;Altenburger Land;3.350
Goßwitz;Siedlung;Saalfeld-Rudolstadt;890
Gotha;Siedlung;Gotha;42.600
Grabe;Siedlung;Unstrut-Hainich-Kreis;660
Gräfenhain;Siedlung;Gotha;1.360
Gräfenroda;Siedlung;Ilm-Kreis;3.290
Gräfenthal;Siedlung;Saalfeld-Rudolstadt;1.410
Gräfentonna;Siedlung;Gotha;2.140
Gräfinau-Angstedt;Siedlung;Ilm-Kreis;1.980
Greiz;Siedlung;Greiz;16.500
Greußen;Siedlung;Kyffhäuserkreis;3.120
Großbartloff;Siedlung;Eichsfeld;920
Großbodungen;Siedlung;Eichsfeld;1.240
Großbreitenbach;Siedlung;Ilm-Kreis;2.630
Großbrembach;Siedlung;Sömmerda;720
Großburschla;Siedlung;Wartburgkreis;1.090
Großenbehringen;Siedlung;Wartburgkreis;1.530
Großenehrich;Siedlung;Kyffhäuserkreis;670
Großengottern;Siedlung;Unstrut-Hainich-Kreis;2.250
Großenlupnitz;Siedlung;Wartburgkreis;790
Großenstein;Siedlung;Greiz;800
Großfahner;Siedlung;Gotha;840
Großfurra;Siedlung;Kyffhäuserkreis;1.110
Großkochberg;Siedlung;Saalfeld-Rudolstadt;540
Großlöbichau;Siedlung;Saale-Holzland-Kreis;720
Großneuhausen;Siedlung;Sömmerda;690
Großobringen;Siedlung;Weimarer Land;870
Großrudestedt;Siedlung;Sömmerda;990
Großschwabhausen;Siedlung;Weimarer Land;770
Großstöbnitz;Siedlung;Altenburger Land;570
Großvargula;Siedlung;Unstrut-Hainich-Kreis;760
Großwechsungen;Siedlung;Nordhausen;830
Großwerther;Siedlung;Nordhausen;800
Grüningen;Siedlung;Kyffhäuserkreis;500
Gumpelstadt;Siedlung;Wartburgkreis;990
Günstedt;Siedlung;Sömmerda;770
Günterode;Siedlung;Eichsfeld;510
Günthersleben-Wechmar;Siedlung;Gotha;3.050
Guthmannshausen;Siedlung;Sömmerda;780
Haarhausen;Siedlung;Ilm-Kreis;510
Hachelbich;Siedlung;Kyffhäuserkreis;590
Haina;Siedlung;Hildburghausen;850
Hainspitz;Siedlung;Saale-Holzland-Kreis;670
Hardisleben;Siedlung;Sömmerda;570
Harra;Siedlung;Saale-Orla-Kreis;760
Harras;Siedlung;Hildburghausen;620
Hartmannsdorf;Siedlung;Saale-Holzland-Kreis;610
Haselbach;Siedlung;Altenburger Land;820
Haselbach;Siedlung;Sonneberg;690
Hasenthal;Siedlung;Sonneberg;530
Haßleben;Siedlung;Sömmerda;1.020
Hauteroda;Siedlung;Kyffhäuserkreis;500
Haynrode;Siedlung;Eichsfeld;660
Heilbad Heiligenstadt;Siedlung;Eichsfeld;14.900
Heinersdorf;Siedlung;Sonneberg;650
Heldburg;Siedlung;Hildburghausen;1.000
Heldrungen;Siedlung;Kyffhäuserkreis;2.150
Helmershausen;Siedlung;Schmalkalden-Meiningen;590
Helmsdorf;Siedlung;Eichsfeld;520
Henneberg;Siedlung;Schmalkalden-Meiningen;510
Herbsleben;Siedlung;Unstrut-Hainich-Kreis;2.770
Herda;Siedlung;Wartburgkreis;750
Heringen/Helme;Siedlung;Nordhausen;2.180
Hermsdorf;Siedlung;Saale-Holzland-Kreis;8.020
Hermsdorf;Siedlung;Gera;530
Hermsdorf (Nord);Siedlung;Saale-Holzland-Kreis;600
Herpf;Siedlung;Schmalkalden-Meiningen;930
Herrenhof;Siedlung;Gotha;740
Herressen;Siedlung;Weimarer Land;600
Herschdorf;Siedlung;Ilm-Kreis;510
Heßberg;Siedlung;Hildburghausen;570
Hesserode;Siedlung;Nordhausen;600
Heubach;Siedlung;Hildburghausen;560
Heuthen;Siedlung;Eichsfeld;750
Heyerode;Siedlung;Unstrut-Hainich-Kreis;2.320
Heygendorf;Siedlung;Kyffhäuserkreis;560
Hildburghausen;Siedlung;Hildburghausen;9.910
Hinternah;Siedlung;Hildburghausen;1.470
