Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Bermuthshain;Siedlung;Vogelsbergkreis;530
Bernbach;Siedlung;Main-Kinzig-Kreis;2.020
Berndorf;Siedlung;Waldeck-Frankenberg;1.660
Bernhards;Siedlung;Fulda;510
Bersrod;Siedlung;Gießen;720
Berstadt;Siedlung;Wetteraukreis;1.690
Besse;Siedlung;Schwalm-Eder-Kreis;3.200
Bettenhausen;Siedlung;Gießen;500
Betzenrod;Siedlung;Vogelsbergkreis;560
Betziesdorf;Siedlung;Marburg-Biedenkopf;740
Beuerbach;Siedlung;Rheingau-Taunus-Kreis;1.130
Beuern;Siedlung;Gießen;1.900
Biblis;Siedlung;Bergstraße;5.850
Bicken;Siedlung;Lahn-Dill-Kreis;1.730
Bickenbach;Siedlung;Darmstadt-Dieburg;5.290
Bieber;Siedlung;Main-Kinzig-Kreis;2.030
Biebesheim am Rhein;Siedlung;Groß-Gerau;6.330
Biedenkopf;Siedlung;Marburg-Biedenkopf;5.880
Bimbach;Siedlung;Fulda;2.050
Bindsachsen;Siedlung;Wetteraukreis;790
Bingenheim;Siedlung;Wetteraukreis;1.360
Birkenau;Siedlung;Bergstraße;5.040
Birkenbringhausen;Siedlung;Waldeck-Frankenberg;740
Birklar;Siedlung;Gießen;680
Birstein;Siedlung;Main-Kinzig-Kreis;2.240
Bischhausen;Siedlung;Werra-Meißner-Kreis;1.060
Bischoffen;Siedlung;Lahn-Dill-Kreis;1.280
Bischofsheim;Siedlung;Groß-Gerau;12.500
Bischofsheim;Siedlung;Main-Kinzig-Kreis;13.100
Biskirchen;Siedlung;Lahn-Dill-Kreis;1.460
Bissenberg;Siedlung;Lahn-Dill-Kreis;740
Blankenau;Siedlung;Fulda;710
Blasbach;Siedlung;Lahn-Dill-Kreis;940
Bleichenbach;Siedlung;Wetteraukreis;1.460
Blessenbach;Siedlung;Limburg-Weilburg;580
Bobstadt;Siedlung;Bergstraße;2.560
Böddiger;Siedlung;Schwalm-Eder-Kreis;540
Bonbaden;Siedlung;Lahn-Dill-Kreis;1.450
Bönstadt;Siedlung;Wetteraukreis;1.560
Bonsweiher;Siedlung;Bergstraße;940
Borken (Hessen);Siedlung;Schwalm-Eder-Kreis;5.830
Born;Siedlung;Rheingau-Taunus-Kreis;800
Bosserode;Siedlung;Hersfeld-Rotenburg;840
Bottendorf;Siedlung;Waldeck-Frankenberg;1.950
Bottenhorn;Siedlung;Marburg-Biedenkopf;1.150
Braach;Siedlung;Hersfeld-Rotenburg;950
Bracht;Siedlung;Marburg-Biedenkopf;660
Brandau;Siedlung;Darmstadt-Dieburg;1.370
Brandoberndorf;Siedlung;Lahn-Dill-Kreis;1.960
Brauerschwend;Siedlung;Vogelsbergkreis;570
Braunau;Siedlung;Waldeck-Frankenberg;610
Braunfels;Siedlung;Lahn-Dill-Kreis;5.910
Breckenheim;Siedlung;Wiesbaden;3.270
Breidenbach;Siedlung;Marburg-Biedenkopf;3.050
Breidenstein;Siedlung;Marburg-Biedenkopf;1.310
Breitenbach;Siedlung;Main-Kinzig-Kreis;580
Breitenbach;Siedlung;Hersfeld-Rotenburg;1.360
Breitenbach;Siedlung;Kassel;1.580
Breitenbach a. Herzberg;Siedlung;Hersfeld-Rotenburg;980
Breitenborn (Amt Wächtersbach);Siedlung;Main-Kinzig-Kreis;1.070
Breitenbrunn;Siedlung;Odenwaldkreis;700
Breithardt;Siedlung;Rheingau-Taunus-Kreis;1.510
Breitscheid;Siedlung;Lahn-Dill-Kreis;1.840
Bremthal;Siedlung;Main-Taunus-Kreis;4.470
Brensbach;Siedlung;Odenwaldkreis;2.160
Breuberg (Sandbach - Neustadt - Rai-Breitenbach);Siedlung;Odenwaldkreis;5.260
Breuna;Siedlung;Kassel;1.510
Brombach;Siedlung;Hochtaunuskreis;510
Brombachtal;Siedlung;Odenwaldkreis;2.500
Bromskirchen;Siedlung;Waldeck-Frankenberg;1.280
Bruchenbrücken;Siedlung;Wetteraukreis;1.680
Bruchköbel;Siedlung;Main-Kinzig-Kreis;15.500
Bründersen;Siedlung;Kassel;580
Buchenau (Lahn);Siedlung;Marburg-Biedenkopf;1.790
Büchenberg;Siedlung;Fulda;820
Büches;Siedlung;Wetteraukreis;560
Büdesheim;Siedlung;Main-Kinzig-Kreis;3.770
Büdingen;Siedlung;Wetteraukreis;7.510
Burg;Siedlung;Lahn-Dill-Kreis;1.990
Bürgeln;Siedlung;Marburg-Biedenkopf;1.400
Burg-Gemünden;Siedlung;Vogelsbergkreis;1.340
Burg-Gräfenrode;Siedlung;Wetteraukreis;1.220
Burghasungen;Siedlung;Kassel;940
Burghaun;Siedlung;Fulda;2.980
Burg-Hohenstein;Siedlung;Rheingau-Taunus-Kreis;530
Burgholzhausen vor der Höhe;Siedlung;Hochtaunuskreis;3.390
Burguffeln;Siedlung;Kassel;540
Burkhardsfelden;Siedlung;Gießen;990
Bürstadt;Siedlung;Bergstraße;11.500
Büttelborn;Siedlung;Groß-Gerau;5.500
Butzbach;Siedlung;Wetteraukreis;11.800
Calbach;Siedlung;Wetteraukreis;530
Calden;Siedlung;Kassel;2.940
Caldern;Siedlung;Marburg-Biedenkopf;1.100
Caßdorf;Siedlung;Schwalm-Eder-Kreis;540
Cleeberg;Siedlung;Gießen;1.040
Climbach;Siedlung;Gießen;590
Cölbe;Siedlung;Marburg-Biedenkopf;3.310
Cornberg;Siedlung;Hersfeld-Rotenburg;860
Crumstadt;Siedlung;Groß-Gerau;3.610
Cyriaxweimar;Siedlung;Marburg-Biedenkopf;540
Darmstadt;Siedlung;Darmstadt;137.300
Darsberg;Siedlung;Bergstraße;510
Datterode;Siedlung;Werra-Meißner-Kreis;880
Dauborn;Siedlung;Limburg-Weilburg;2.620
Dauernheim;Siedlung;Wetteraukreis;1.580
Dautphetal;Siedlung;Marburg-Biedenkopf;4.280
Dehrn;Siedlung;Limburg-Weilburg;2.170
Deisel;Siedlung;Kassel;990
Delkenheim;Siedlung;Wiesbaden;4.710
Deute;Siedlung;Schwalm-Eder-Kreis;860
Dieburg;Siedlung;Darmstadt-Dieburg;14.500
Diedenbergen;Siedlung;Main-Taunus-Kreis;3.870
Dietershan;Siedlung;Fulda;690
Dietershausen;Siedlung;Fulda;950
Dietkirchen;Siedlung;Limburg-Weilburg;1.610
Dietzenbach;Siedlung;Offenbach;31.800
Dillbrecht;Siedlung;Lahn-Dill-Kreis;670
Dillenburg;Siedlung;Lahn-Dill-Kreis;12.100
Dillhausen;Siedlung;Limburg-Weilburg;660
Dipperz;Siedlung;Fulda;1.860
Dirlos;Siedlung;Fulda;880
Dissen;Siedlung;Schwalm-Eder-Kreis;680
Dittershausen;Siedlung;Kassel;2.670
Dodenau;Siedlung;Waldeck-Frankenberg;1.360
Dohrenbach;Siedlung;Werra-Meißner-Kreis;520
Döngesmühle;Siedlung;Fulda;540
Donsbach;Siedlung;Lahn-Dill-Kreis;1.520
Dorfborn;Siedlung;Fulda;680
Dorf-Güll;Siedlung;Gießen;1.340
Dorfitter;Siedlung;Waldeck-Frankenberg;760
Dorfweil;Siedlung;Hochtaunuskreis;690
Dorheim;Siedlung;Wetteraukreis;2.300
Dorn-Assenheim;Siedlung;Wetteraukreis;1.200
Dörnberg;Siedlung;Kassel;2.390
Dorndorf;Siedlung;Limburg-Weilburg;1.520
Dörnhagen;Siedlung;Kassel;2.880
Dornheim;Siedlung;Groß-Gerau;4.290
Dornholzhausen;Siedlung;Gießen;1.050
Dörnigheim;Siedlung;Main-Kinzig-Kreis;15.100
Dortelweil;Siedlung;Wetteraukreis;6.810
Dreieich;Siedlung;Offenbach;34.200
Dreihausen;Siedlung;Marburg-Biedenkopf;1.530
Driedorf;Siedlung;Lahn-Dill-Kreis;1.930
Düdelsheim;Siedlung;Wetteraukreis;2.670
Dutenhofen;Siedlung;Lahn-Dill-Kreis;2.990
Eberschütz;Siedlung;Kassel;520
Ebersgöns;Siedlung;Wetteraukreis;690
Eberstadt;Siedlung;Gießen;780
Ebsdorf;Siedlung;Marburg-Biedenkopf;990
Echzell;Siedlung;Wetteraukreis;3.750
Eckartsborn;Siedlung;Wetteraukreis;700
Eckartshausen;Siedlung;Wetteraukreis;990
Eckelshausen;Siedlung;Marburg-Biedenkopf;750
Eckweisbach;Siedlung;Fulda;700
Eddersheim;Siedlung;Main-Taunus-Kreis;4.420
Edelsberg;Siedlung;Limburg-Weilburg;580
Edingen;Siedlung;Lahn-Dill-Kreis;1.150
