Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Aschau a. Inn;Siedlung;Mühldorf a. Inn;2.020
Aschau i. Chiemgau;Siedlung;Rosenheim;4.080
Aschbach;Siedlung;Bamberg;1.010
Aschfeld;Siedlung;Main-Spessart;750
Aschheim;Siedlung;München;6.240
Ascholding;Siedlung;Bad Tölz-Wolfratshausen;880
Aßling;Siedlung;Ebersberg;2.780
Ast;Siedlung;Landshut;800
Astheim;Siedlung;Kitzingen;760
Attaching;Siedlung;Freising;930
Attenhausen;Siedlung;Unterallgäu;670
Attenhofen;Siedlung;Neu-Ulm;930
Attenkirchen;Siedlung;Freising;1.290
Atting;Siedlung;Straubing-Bogen;1.380
Au;Siedlung;Neu-Ulm;2.380
Aub;Siedlung;Würzburg;1.020
Au bei Bad Aibling;Siedlung;Rosenheim;2.150
Aubstadt;Siedlung;Rhön-Grabfeld;740
Auchsesheim;Siedlung;Donau-Ries;630
Auerbach;Siedlung;Augsburg;550
Auerbach i.d. OPf.;Siedlung;Amberg-Sulzbach;5.750
Auernheim;Siedlung;Weißenburg-Gunzenhausen;600
Aufham;Siedlung;Berchtesgadener Land;1.310
Aufhausen;Siedlung;Regensburg;1.350
Aufhausen;Siedlung;Dingolfing-Landau;600
Aufheim;Siedlung;Neu-Ulm;1.840
Aufkirchen;Siedlung;Erding;860
Aufkirchen;Siedlung;Fürstenfeldbruck;730
Aufkirchen;Siedlung;Starnberg;2.170
Aufseß;Siedlung;Bayreuth;500
Augsburg;Siedlung;Augsburg Stadt;259.900
Auhausen;Siedlung;Donau-Ries;560
Au i.d. Hallertau;Siedlung;Freising;3.460
Auloh;Siedlung;Landshut Stadt;2.300
Aunkirchen;Siedlung;Passau;630
Aura a.d. Saale;Siedlung;Bad Kissingen;860
Aurach;Siedlung;Ansbach;1.510
Aura i. Sinngrund;Siedlung;Main-Spessart;980
Autenried;Siedlung;Günzburg;590
Aying;Siedlung;München;1.620
Aystetten;Siedlung;Augsburg;2.880
Baar-Ebenhausen;Siedlung;Pfaffenhofen a.d. Ilm;4.250
Baar (Schwaben);Siedlung;Aichach-Friedberg;1.030
Babenhausen;Siedlung;Unterallgäu;4.570
Babensham;Siedlung;Rosenheim;630
Bach a.d. Donau;Siedlung;Regensburg;1.000
Bachern;Siedlung;Aichach-Friedberg;700
Bachhagel;Siedlung;Dillingen a.d. Donau;1.400
Bachham;Siedlung;Rosenheim;800
Bächingen a.d. Brenz;Siedlung;Dillingen a.d. Donau;1.290
Bachmehring;Siedlung;Rosenheim;1.060
Bad Abbach;Siedlung;Kelheim;7.890
Bad Aibling;Siedlung;Rosenheim;15.000
Bad Alexandersbad;Siedlung;Wunsiedel i. Fichtelgebirge;900
Bad Bayersoien;Siedlung;Garmisch-Partenkirchen;900
Bad Berneck i. Fichtelgebirge;Siedlung;Bayreuth;3.360
Bad Birnbach;Siedlung;Rottal-Inn;1.940
Bad Bocklet;Siedlung;Bad Kissingen;1.450
Bad Brückenau;Siedlung;Bad Kissingen;5.310
Bad Endorf;Siedlung;Rosenheim;5.700
Bad Feilnbach;Siedlung;Rosenheim;3.000
Bad Füssing;Siedlung;Passau;2.070
Bad Gögging;Siedlung;Kelheim;1.690
Bad Griesbach i. Rottal;Siedlung;Passau;4.580
Bad Grönenbach;Siedlung;Unterallgäu;3.220
Bad Heilbrunn;Siedlung;Bad Tölz-Wolfratshausen;1.990
Bad Hindelang;Siedlung;Oberallgäu;2.460
Bad Höhenstadt;Siedlung;Passau;530
Bad Kissingen;Siedlung;Bad Kissingen;16.900
Bad Kohlgrub;Siedlung;Garmisch-Partenkirchen;2.010
Bad Königshofen i. Grabfeld;Siedlung;Rhön-Grabfeld;3.760
Bad Kötzting;Siedlung;Cham;4.430
Bad Neuhaus;Siedlung;Rhön-Grabfeld;940
Bad Neustadt a.d. Saale;Siedlung;Rhön-Grabfeld;10.500
Bad Reichenhall;Siedlung;Berchtesgadener Land;14.500
Bad Rodach;Siedlung;Coburg;3.750
Bad Staffelstein;Siedlung;Lichtenfels;5.130
Bad Steben;Siedlung;Hof;1.850
Bad Tölz;Siedlung;Bad Tölz-Wolfratshausen;16.500
Bad Wiessee;Siedlung;Miesbach;4.310
Bad Windsheim;Siedlung;Neustadt a.d. Aisch-Bad Windsheim;10.100
Bad Wörishofen;Siedlung;Unterallgäu;10.400
Baierbrunn;Siedlung;München;1.400
Baiersdorf;Siedlung;Erlangen-Höchstadt;5.540
Baindlkirch;Siedlung;Aichach-Friedberg;690
Baisweil;Siedlung;Ostallgäu;810
Balgheim;Siedlung;Donau-Ries;540
Balzhausen;Siedlung;Günzburg;1.180
Bamberg;Siedlung;Bamberg Stadt;69.800
Bammersdorf;Siedlung;Forchheim;940
Barbing;Siedlung;Regensburg;2.540
Bärnau;Siedlung;Tirschenreuth;1.290
Barthelmesaurach;Siedlung;Roth;830
Bastheim;Siedlung;Rhön-Grabfeld;710
Batzenhofen - Edenbergen;Siedlung;Augsburg;840
Batzhausen;Siedlung;Neumarkt i.d. OPf.;850
Baudenbach;Siedlung;Neustadt a.d. Aisch-Bad Windsheim;730
Baunach;Siedlung;Bamberg;2.980
Bayerbach;Siedlung;Rottal-Inn;1.040
Bayerbach b. Ergoldsbach;Siedlung;Landshut;1.240
