Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Bad Herrenalb;Siedlung;Calw;3.500
Bad Imnau;Siedlung;Zollernalbkreis;580
Bad Krozingen;Siedlung;Breisgau-Hochschwarzwald;11.100
Bad Langenbrücken;Siedlung;Karlsruhe;5.720
Bad Liebenzell;Siedlung;Calw;2.900
Bad Mergentheim;Siedlung;Main-Tauber-Kreis;13.700
Bad Niedernau;Siedlung;Tübingen;510
Bad Peterstal;Siedlung;Ortenaukreis;1.370
Bad Rappenau;Siedlung;Heilbronn;8.210
Bad Säckingen;Siedlung;Waldshut;13.300
Bad Saulgau;Siedlung;Sigmaringen;11.300
Bad Schussenried;Siedlung;Biberach;5.150
Bad Überkingen;Siedlung;Göppingen;1.820
Bad Urach;Siedlung;Reutlingen;8.180
Bad Waldsee;Siedlung;Ravensburg;11.400
Bad Wildbad;Siedlung;Calw;4.100
Bad Wimpfen;Siedlung;Heilbronn;6.420
Bad Wurzach;Siedlung;Ravensburg;5.250
Bahlingen am Kaiserstuhl;Siedlung;Emmendingen;3.900
Bahnbrücken;Siedlung;Karlsruhe;680
Baienfurt;Siedlung;Ravensburg;5.190
Baiereck;Siedlung;Göppingen;590
Baiersbronn;Siedlung;Freudenstadt;6.540
Baiertal;Siedlung;Rhein-Neckar-Kreis;4.270
Baindt;Siedlung;Ravensburg;4.360
Baisingen;Siedlung;Tübingen;1.210
Balgheim;Siedlung;Tuttlingen;1.120
Balingen;Siedlung;Zollernalbkreis;26.700
Ballendorf;Siedlung;Alb-Donau-Kreis;600
Ballrechten-Dottingen;Siedlung;Breisgau-Hochschwarzwald;2.280
Baltmannsweiler;Siedlung;Esslingen;3.190
Baltringen;Siedlung;Biberach;1.400
Balzhofen;Siedlung;Rastatt;690
Bambergen;Siedlung;Bodenseekreis;540
Bamlach;Siedlung;Lörrach;820
Bammental;Siedlung;Rhein-Neckar-Kreis;6.280
Bankholzen;Siedlung;Konstanz;700
Bargau;Siedlung;Ostalbkreis;2.700
Bargen;Siedlung;Rhein-Neckar-Kreis;1.000
Bartholomä;Siedlung;Ostalbkreis;1.860
Bauerbach;Siedlung;Karlsruhe;1.250
Bauschlott;Siedlung;Enzkreis;3.170
Baustetten;Siedlung;Biberach;2.020
Bavendorf;Siedlung;Ravensburg;1.020
Bechtoldsweiler;Siedlung;Zollernalbkreis;650
Beeghof;Siedlung;Schwäbisch Hall;780
Beffendorf;Siedlung;Rottweil;950
Beihingen;Siedlung;Calw;890
Beilstein;Siedlung;Heilbronn;5.410
Beimerstetten;Siedlung;Alb-Donau-Kreis;2.460
Beiningen;Siedlung;Alb-Donau-Kreis;520
Beinstein;Siedlung;Rems-Murr-Kreis;3.780
Bellamont;Siedlung;Biberach;540
Belsen;Siedlung;Tübingen;6.520
Bempflingen;Siedlung;Esslingen;2.640
Benningen am Neckar;Siedlung;Ludwigsburg;5.770
Benzingen;Siedlung;Zollernalbkreis;1.110
Berau;Siedlung;Waldshut;810
Berg;Siedlung;Ravensburg;1.770
Berg;Siedlung;Alb-Donau-Kreis;630
Berg;Siedlung;Bodenseekreis;1.660
Bergatreute;Siedlung;Ravensburg;2.380
Bergfelden;Siedlung;Rottweil;1.540
Berghaupten;Siedlung;Ortenaukreis;2.140
Berghausen - Söllingen;Siedlung;Karlsruhe;12.400
Berghülen;Siedlung;Alb-Donau-Kreis;1.410
Berkheim;Siedlung;Biberach;1.700
Berlichingen;Siedlung;Hohenlohekreis;640
Bermaringen;Siedlung;Alb-Donau-Kreis;1.180
Bermatingen;Siedlung;Bodenseekreis;2.600
Bermersbach;Siedlung;Rastatt;810
Bernbach;Siedlung;Calw;910
Bernhausen;Siedlung;Esslingen;13.200
Bernloch;Siedlung;Reutlingen;850
Bernstadt;Siedlung;Alb-Donau-Kreis;2.070
Berolzheim;Siedlung;Main-Tauber-Kreis;550
Berwangen;Siedlung;Heilbronn;1.370
Besenfeld;Siedlung;Freudenstadt;1.100
Besigheim;Siedlung;Ludwigsburg;9.010
Bestenheid;Siedlung;Main-Tauber-Kreis;4.030
Betra;Siedlung;Freudenstadt;1.200
Bettingen;Siedlung;Main-Tauber-Kreis;700
Betzenweiler;Siedlung;Biberach;680
Betzweiler;Siedlung;Freudenstadt;900
Beuren;Siedlung;Esslingen;3.330
Beuren;Siedlung;Bodenseekreis;1.450
Beuren an der Aach;Siedlung;Konstanz;1.370
Bezgenriet;Siedlung;Göppingen;1.580
Biberach;Siedlung;Ortenaukreis;2.870
Biberach;Siedlung;Heilbronn Stadt;4.890
Biberach an der Riß;Siedlung;Biberach;26.300
Bibersfeld;Siedlung;Schwäbisch Hall;1.340
Bickelsberg;Siedlung;Zollernalbkreis;530
Biengen;Siedlung;Breisgau-Hochschwarzwald;1.480
Bieringen;Siedlung;Hohenlohekreis;960
Bieringen;Siedlung;Tübingen;640
Bierlingen;Siedlung;Tübingen;1.230
Bieselsberg;Siedlung;Calw;990
Bietigheim;Siedlung;Rastatt;6.010
Bietigheim-Bissingen;Siedlung;Ludwigsburg;40.700
Bietingen;Siedlung;Konstanz;1.130
Bihlafingen;Siedlung;Biberach;730
Bildechingen;Siedlung;Freudenstadt;1.810
Bilfingen;Siedlung;Enzkreis;2.530
Billafingen;Siedlung;Bodenseekreis;610
Billigheim;Siedlung;Neckar-Odenwald-Kreis;1.670
Binau;Siedlung;Neckar-Odenwald-Kreis;840
Binau-Bahnhof;Siedlung;Neckar-Odenwald-Kreis;520
Bingen;Siedlung;Sigmaringen;2.050
Binningen;Siedlung;Konstanz;660
Binsdorf;Siedlung;Zollernalbkreis;960
Binzen;Siedlung;Lörrach;2.830
Binzgen;Siedlung;Waldshut;1.250
Binzwangen;Siedlung;Biberach;850
Birenbach;Siedlung;Göppingen;1.880
Birkendorf;Siedlung;Waldshut;1.020
Birkenfeld;Siedlung;Enzkreis;7.520
Birkenhard;Siedlung;Biberach;1.230
Birkhau;Siedlung;Ludwigsburg;720
Birkmannsweiler;Siedlung;Rems-Murr-Kreis;2.650
Birndorf;Siedlung;Waldshut;500
Bischoffingen;Siedlung;Breisgau-Hochschwarzwald;610
Bischweier;Siedlung;Rastatt;3.000
Bisingen;Siedlung;Zollernalbkreis;6.780
Bissingen;Siedlung;Heidenheim;600
Bissingen an der Teck;Siedlung;Esslingen;3.000
Bittelbronn;Siedlung;Freudenstadt;680
Bittelbronn;Siedlung;Zollernalbkreis;560
Bittenfeld;Siedlung;Rems-Murr-Kreis;4.130
Bitz;Siedlung;Zollernalbkreis;3.640
Bitzenhofen;Siedlung;Bodenseekreis;1.040
Bitzfeld;Siedlung;Hohenlohekreis;1.310
Blankenloch;Siedlung;Karlsruhe;8.220
Blansingen;Siedlung;Lörrach;510
Blaubeuren;Siedlung;Alb-Donau-Kreis;5.090
Blaufelden;Siedlung;Schwäbisch Hall;2.480
Blaustein;Siedlung;Alb-Donau-Kreis;9.460
Bleibach;Siedlung;Emmendingen;1.900
Bleichheim;Siedlung;Emmendingen;710
Blitzenreute;Siedlung;Ravensburg;1.570
Blochingen;Siedlung;Sigmaringen;890
Blumberg;Siedlung;Schwarzwald-Baar-Kreis;5.460
Böbingen an der Rems;Siedlung;Ostalbkreis;4.480
Böblingen;Siedlung;Böblingen;38.100
Bochingen;Siedlung;Rottweil;1.670
Bodelshausen;Siedlung;Tübingen;5.410
Bodersweier;Siedlung;Ortenaukreis;1.860
Bödigheim;Siedlung;Neckar-Odenwald-Kreis;850
Bodmann;Siedlung;Konstanz;1.220
Bodnegg;Siedlung;Ravensburg;1.260
Bohlingen;Siedlung;Konstanz;1.760
Böhmenkirch;Siedlung;Göppingen;3.150
Böhringen;Siedlung;Rottweil;860
Böhringen;Siedlung;Konstanz;3.870
Böhringen;Siedlung;Reutlingen;1.590
Bolheim;Siedlung;Heidenheim;2.790
Boll;Siedlung;Rottweil;750
Boll;Siedlung;Zollernalbkreis;1.200
Bollenbach;Siedlung;Ortenaukreis;1.230
Bollingen;Siedlung;Alb-Donau-Kreis;1.010
Bollschweil;Siedlung;Breisgau-Hochschwarzwald;1.840
Bombach;Siedlung;Emmendingen;660
Bondorf;Siedlung;Böblingen;5.590
Bonfeld;Siedlung;Heilbronn;1.730
Bonlanden;Siedlung;Esslingen;10.400
Bonndorf im Schwarzwald;Siedlung;Waldshut;4.690
Bönnigheim;Siedlung;Ludwigsburg;5.730
Bopfingen;Siedlung;Ostalbkreis;8.200
Börstingen;Siedlung;Tübingen;700
Börtlingen;Siedlung;Göppingen;1.300
Bösenlustnau;Siedlung;Ostalbkreis;1.070
Bösingen;Siedlung;Rottweil;1.760
Bösingen;Siedlung;Freudenstadt;1.020
Botenheim;Siedlung;Heilbronn;1.290
Bottenau;Siedlung;Ortenaukreis;740
Böttingen;Siedlung;Tuttlingen;1.470
Böttingen;Siedlung;Reutlingen;580
Bötzingen;Siedlung;Breisgau-Hochschwarzwald;5.280
Boxberg;Siedlung;Main-Tauber-Kreis;2.180
Boxtal;Siedlung;Main-Tauber-Kreis;540
Brackenheim;Siedlung;Heilbronn;7.090
Braune Hardt;Siedlung;Ostalbkreis;1.060
Bräunlingen;Siedlung;Schwarzwald-Baar-Kreis;4.070
Braunsbach;Siedlung;Schwäbisch Hall;880
Breisach am Rhein;Siedlung;Breisgau-Hochschwarzwald;8.780
Breitenberg;Siedlung;Calw;640
Breitenfürst;Siedlung;Rems-Murr-Kreis;730
Breitenholz;Siedlung;Tübingen;750
Breitenstein;Siedlung;Böblingen;1.220
Bremgarten;Siedlung;Breisgau-Hochschwarzwald;1.020
Bretten;Siedlung;Karlsruhe;20.400
Brettheim;Siedlung;Schwäbisch Hall;700
Bretzfeld;Siedlung;Hohenlohekreis;2.870
Breuningsweiler;Siedlung;Rems-Murr-Kreis;910
Briach;Siedlung;Ravensburg;660
Brigach;Siedlung;Schwarzwald-Baar-Kreis;590
Britzingen;Siedlung;Breisgau-Hochschwarzwald;850
Broggingen;Siedlung;Emmendingen;760
Bronnen;Siedlung;Biberach;600
Bronnweiler;Siedlung;Reutlingen;1.030
Bruch;Siedlung;Rems-Murr-Kreis;580
Bruchhausen - Ettlingenweier;Siedlung;Karlsruhe;8.030
Bruchsal;Siedlung;Karlsruhe;24.700
Brucken;Siedlung;Esslingen;1.020
Brühl;Siedlung;Rhein-Neckar-Kreis;13.700
Bubenorbis;Siedlung;Schwäbisch Hall;640
Bubsheim;Siedlung;Tuttlingen;1.160
Buch;Siedlung;Ostalbkreis;1.000
Buch;Siedlung;Waldshut;810
Büchenau;Siedlung;Karlsruhe;2.190
