Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Losheim am See;Siedlung;Merzig-Wadern;4.830
Lummerschied;Siedlung;Regionalverband Saarbrücken;610
Mainzweiler;Siedlung;Neunkirchen;980
Marpingen;Siedlung;St. Wendel;4.470
Mechern;Siedlung;Merzig-Wadern;810
Menningen;Siedlung;Merzig-Wadern;600
Merchingen;Siedlung;Merzig-Wadern;900
Merchweiler;Siedlung;Neunkirchen;10.200
Merzig;Siedlung;Merzig-Wadern;13.600
Mettlach;Siedlung;Merzig-Wadern;3.060
Michelbach;Siedlung;Saarlouis;840
Mitlosheim;Siedlung;Merzig-Wadern;810
Mondorf;Siedlung;Merzig-Wadern;730
Morscholz;Siedlung;Merzig-Wadern;990
Münchwies;Siedlung;Neunkirchen;1.250
Nalbach;Siedlung;Saarlouis;5.880
Namborn;Siedlung;St. Wendel;1.870
Naßweiler;Siedlung;Regionalverband Saarbrücken;570
Nennig;Siedlung;Merzig-Wadern;1.110
Neuforweiler;Siedlung;Saarlouis;1.460
Neunkirchen;Siedlung;Neunkirchen;35.000
Neunkirchen;Siedlung;St. Wendel;840
Neuweiler;Siedlung;Regionalverband Saarbrücken;3.800
Niedaltdorf;Siedlung;Saarlouis;740
Niederbexbach;Siedlung;Saarpfalz-Kreis;1.180
Niedergailbach;Siedlung;Saarpfalz-Kreis;500
Niederkirchen - Marth;Siedlung;St. Wendel;1.640
Niederlinxweiler;Siedlung;St. Wendel;2.000
Niederwürzbach;Siedlung;Saarpfalz-Kreis;3.610
Nohfelden;Siedlung;St. Wendel;1.080
Nohn;Siedlung;Merzig-Wadern;650
Nonnweiler;Siedlung;St. Wendel;1.090
Noswendel;Siedlung;Merzig-Wadern;1.280
Nunkirchen;Siedlung;Merzig-Wadern;2.360
Oberkirchen;Siedlung;St. Wendel;2.460
Oberleuken;Siedlung;Merzig-Wadern;550
Obersalbach-Kurhof;Siedlung;Regionalverband Saarbrücken;620
Oberthal;Siedlung;St. Wendel;4.090
Oberwürzbach;Siedlung;Saarpfalz-Kreis;1.800
Ommersheim;Siedlung;Saarpfalz-Kreis;2.220
Ormesheim;Siedlung;Saarpfalz-Kreis;2.660
Orscholz;Siedlung;Merzig-Wadern;3.550
Osterbrücken;Siedlung;St. Wendel;540
Ottweiler;Siedlung;Neunkirchen;9.520
Otzenhausen;Siedlung;St. Wendel;1.600
Perl;Siedlung;Merzig-Wadern;2.660
Primstal - Mühlfeld;Siedlung;St. Wendel;2.140
Püttlingen;Siedlung;Regionalverband Saarbrücken;19.100
Quierschied;Siedlung;Regionalverband Saarbrücken;8.130
Rappweiler;Siedlung;Merzig-Wadern;1.560
Rehlingen-Siersburg;Siedlung;Saarlouis;3.920
Reimsbach - Oppen;Siedlung;Merzig-Wadern;3.020
Reinheim;Siedlung;Saarpfalz-Kreis;1.070
Remmesweiler;Siedlung;St. Wendel;900
Riegelsberg;Siedlung;Regionalverband Saarbrücken;14.800
Rilchingen-Hanweiler;Siedlung;Regionalverband Saarbrücken;2.280
Rissenthal;Siedlung;Merzig-Wadern;630
Rubenheim;Siedlung;Saarpfalz-Kreis;740
Saarbrücken;Siedlung;Regionalverband Saarbrücken;170.000
Saarfels;Siedlung;Merzig-Wadern;820
Saarhölzbach;Siedlung;Merzig-Wadern;1.630
Saarlouis;Siedlung;Saarlouis;33.000
Saarwellingen;Siedlung;Saarlouis;7.710
Sankt Barbara;Siedlung;Saarlouis;790
Sankt Nikolaus;Siedlung;Regionalverband Saarbrücken;880
Scheuern;Siedlung;St. Wendel;830
Schiffweiler;Siedlung;Neunkirchen;13.800
Schmelz;Siedlung;Saarlouis;12.400
Schwalbach;Siedlung;Saarlouis;12.300
Schwarzenbach;Siedlung;St. Wendel;660
Schwarzenholz;Siedlung;Saarlouis;3.000
Schwemlingen;Siedlung;Merzig-Wadern;2.160
Selbach;Siedlung;St. Wendel;760
Siersburg;Siedlung;Saarlouis;4.250
Sitterswald;Siedlung;Regionalverband Saarbrücken;1.450
Sitzerath;Siedlung;St. Wendel;750
Sötern;Siedlung;St. Wendel;1.180
Sotzweiler - Bergweiler;Siedlung;St. Wendel;1.880
Spiesen-Elversberg;Siedlung;Neunkirchen;13.400
Sprengen;Siedlung;Saarlouis;950
Steinbach;Siedlung;Saarlouis;1.660
Steinbach bei Ottweiler;Siedlung;Neunkirchen;1.390
Steinberg;Siedlung;Merzig-Wadern;1.040
Steinberg-Deckenhardt;Siedlung;St. Wendel;770
Stennweiler;Siedlung;Neunkirchen;1.970
St. Ingbert;Siedlung;Saarpfalz-Kreis;30.600
St. Wendel;Siedlung;St. Wendel;12.500
Sulzbach/Saar;Siedlung;Regionalverband Saarbrücken;12.700
Thailen;Siedlung;Merzig-Wadern;1.060
Thalexweiler - Aschbach;Siedlung;Saarlouis;3.350
Theley;Siedlung;St. Wendel;3.090
Tholey;Siedlung;St. Wendel;2.250
Tünsdorf;Siedlung;Merzig-Wadern;850
Türkismühle;Siedlung;St. Wendel;570
Überherrn;Siedlung;Saarlouis;5.500
Überroth-Niederhofen;Siedlung;St. Wendel;740
Urexweiler;Siedlung;St. Wendel;2.750
Völklingen;Siedlung;Regionalverband Saarbrücken;36.100
Wadern;Siedlung;Merzig-Wadern;4.380
Wadgassen;Siedlung;Saarlouis;12.300
Wadrill;Siedlung;Merzig-Wadern;1.970
Wahlen - Niederlosheim;Siedlung;Merzig-Wadern;3.310
Waldhölzbach;Siedlung;Merzig-Wadern;550
Walhausen;Siedlung;St. Wendel;620
Wallerfangen;Siedlung;Saarlouis;4.570
Walsheim;Siedlung;Saarpfalz-Kreis;900
Webenheim - Mimbach;Siedlung;Saarpfalz-Kreis;2.090
Weiskirchen;Siedlung;Merzig-Wadern;3.430
Weiten;Siedlung;Merzig-Wadern;1.140
Wiesbach;Siedlung;Neunkirchen;3.640
Winterbach;Siedlung;St. Wendel;2.100
Wittersheim;Siedlung;Saarpfalz-Kreis;590
Wolfersweiler;Siedlung;St. Wendel;1.000
