Name;Status;Einwohner
;;Zensus
;;09.05.11
Bautzen;Landkreis;315.174
Chemnitz;Stadtkreis;240.253
Dresden;Stadtkreis;512.354
Erzgebirgskreis;Landkreis;361.791
Gšrlitz;Landkreis;269.647
Leipzig;Landkreis;262.214
Leipzig Stadt;Stadtkreis;502.979
Mei§en;Landkreis;247.054
Mittelsachsen;Landkreis;322.077
Nordsachsen;Landkreis;201.165
SŠchsische Schweiz-Osterzgebirge;Landkreis;246.818
Vogtlandkreis;Landkreis;240.053
Zwickau;Landkreis;335.220
Sachsen;Bundesland;4.056.799
