Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Dittelsdorf;Siedlung;Görlitz;660
Dittersbach;Siedlung;Mittelsachsen;1.180
Dittersbach auf dem Eigen;Siedlung;Görlitz;540
Dittmannsdorf;Siedlung;Erzgebirgskreis;880
Döbeln;Siedlung;Mittelsachsen;17.700
Doberschau (Dobru_a);Siedlung;Bautzen;1.160
Doberschütz;Siedlung;Nordsachsen;1.000
Dohma;Siedlung;Sächsische Schweiz-Osterzgebirge;930
Dohna;Siedlung;Sächsische Schweiz-Osterzgebirge;3.590
Dölzig;Siedlung;Nordsachsen;1.770
Dommitzsch;Siedlung;Nordsachsen;2.000
Dorfchemnitz;Siedlung;Mittelsachsen;600
Dorfchemnitz;Siedlung;Erzgebirgskreis;1.360
Dorfhain;Siedlung;Sächsische Schweiz-Osterzgebirge;1.090
Dorf Wehlen;Siedlung;Sächsische Schweiz-Osterzgebirge;700
Dornreichenbach;Siedlung;Leipzig;580
Dörnthal;Siedlung;Erzgebirgskreis;900
Drebach;Siedlung;Erzgebirgskreis;2.410
Dresden;Siedlung;Dresden;503.200
Durchwehna - Kossa;Siedlung;Nordsachsen;810
Dürrhennersdorf;Siedlung;Görlitz;1.050
Dürrröhrsdorf-Dittersbach;Siedlung;Sächsische Schweiz-Osterzgebirge;1.960
Dürrweitzschen;Siedlung;Leipzig;590
Ebersbach;Siedlung;Meißen;1.340
Ebersbach;Siedlung;Mittelsachsen;1.140
Ebersbach/Sachsen;Siedlung;Görlitz;4.440
Ebersbrunn;Siedlung;Zwickau;1.360
Eckartsberg;Siedlung;Görlitz;850
Ehrenberg;Siedlung;Sächsische Schweiz-Osterzgebirge;630
Ehrenfriedersdorf;Siedlung;Erzgebirgskreis;4.760
Eibau - Walddorf;Siedlung;Görlitz;3.680
Eibenstock;Siedlung;Erzgebirgskreis;4.690
Eichgraben;Siedlung;Görlitz;740
Eich/Sachsen;Siedlung;Vogtlandkreis;500
Eilenburg;Siedlung;Nordsachsen;14.700
Ellefeld;Siedlung;Vogtlandkreis;2.660
Elsterberg;Siedlung;Vogtlandkreis;2.830
Elsterheide (Hal_trowska hola);Siedlung;Bautzen;610
Elstertrebnitz;Siedlung;Leipzig;1.320
Elstra;Siedlung;Bautzen;1.340
Elterlein;Siedlung;Erzgebirgskreis;2.200
Eppendorf;Siedlung;Mittelsachsen;3.510
Erdmannsdorf;Siedlung;Mittelsachsen;1.770
Erla - Bermsgrün;Siedlung;Erzgebirgskreis;2.770
Erlabrunn;Siedlung;Erzgebirgskreis;520
Erlau;Siedlung;Mittelsachsen;900
Erlbach;Siedlung;Vogtlandkreis;1.050
Eschdorf;Siedlung;Dresden;550
Espenhain;Siedlung;Leipzig;850
Etzdorf;Siedlung;Mittelsachsen;670
Euba;Siedlung;Chemnitz;1.730
Eula;Siedlung;Meißen;690
Eula;Siedlung;Leipzig;790
Falkenau;Siedlung;Mittelsachsen;1.880
Falkenhain;Siedlung;Leipzig;890
Falkenstein/Vogtl.;Siedlung;Vogtlandkreis;7.280
Feldschlößchen;Siedlung;Bautzen;700
Fischbach;Siedlung;Bautzen;970
Flöha;Siedlung;Mittelsachsen;9.430
Flößberg;Siedlung;Leipzig;600
Forchheim;Siedlung;Erzgebirgskreis;600
Frankenau;Siedlung;Mittelsachsen;680
Frankenberg/Sa.;Siedlung;Mittelsachsen;11.600
Frankenheim;Siedlung;Leipzig;1.240
Frankenthal;Siedlung;Bautzen;940
Frauenhain;Siedlung;Meißen;1.110
Frauenstein;Siedlung;Mittelsachsen;910
Fraureuth;Siedlung;Zwickau;4.060
Freiberg;Siedlung;Mittelsachsen;37.200
Freital;Siedlung;Sächsische Schweiz-Osterzgebirge;37.000
Friedebach;Siedlung;Mittelsachsen;510
Friedersdorf;Siedlung;Bautzen;570
Friedersdorf;Siedlung;Görlitz;620
Friedersdorf;Siedlung;Görlitz;1.190
Friedewald;Siedlung;Meißen;1.210
Friedrichswalde - Ottendorf;Siedlung;Sächsische Schweiz-Osterzgebirge;850
Frohburg;Siedlung;Leipzig;3.990
Fuchshain;Siedlung;Leipzig;950
Gablenz (Jab_o_c);Siedlung;Görlitz;1.280
Gablenz;Siedlung;Erzgebirgskreis;590
Gahlenz;Siedlung;Mittelsachsen;820
Garnsdorf;Siedlung;Mittelsachsen;720
Garsebach;Siedlung;Meißen;710
Gatzen;Siedlung;Leipzig;510
Gaußig (Huska);Siedlung;Bautzen;690
Geising;Siedlung;Sächsische Schweiz-Osterzgebirge;1.210
Geissmannsdorf;Siedlung;Bautzen;560
Geithain;Siedlung;Leipzig;4.630
Gelenau/Erzgeb.;Siedlung;Erzgebirgskreis;4.360
Gerichshain;Siedlung;Leipzig;1.440
Geringswalde;Siedlung;Mittelsachsen;3.910
Gersdorf;Siedlung;Zwickau;4.150
Gersdorf;Siedlung;Mittelsachsen;500
Geyer;Siedlung;Erzgebirgskreis;3.740
Girbigsdorf - Ebersbach;Siedlung;Görlitz;1.790
Glashütte;Siedlung;Sächsische Schweiz-Osterzgebirge;1.650
Glaubitz;Siedlung;Meißen;1.940
Glauchau;Siedlung;Zwickau;21.500
Glesien;Siedlung;Nordsachsen;1.310
Göda (Hod_ij);Siedlung;Bautzen;920
Gohlis;Siedlung;Meißen;530
Göhrenz;Siedlung;Leipzig;860
Gohrisch;Siedlung;Sächsische Schweiz-Osterzgebirge;840
Goppeln;Siedlung;Sächsische Schweiz-Osterzgebirge;790
Gordemitz;Siedlung;Nordsachsen;520
Göritzhain;Siedlung;Mittelsachsen;640
Görlitz;Siedlung;Görlitz;47.100
Gornau/Erzgeb.;Siedlung;Erzgebirgskreis;2.240
Gornsdorf;Siedlung;Erzgebirgskreis;2.100
Graupa;Siedlung;Sächsische Schweiz-Osterzgebirge;2.920
Greifenhain;Siedlung;Leipzig;590
Grießbach;Siedlung;Erzgebirgskreis;680
Grimma;Siedlung;Leipzig;14.200
Gröditz;Siedlung;Meißen;6.880
Groitzsch;Siedlung;Leipzig;5.090
Großbardau;Siedlung;Leipzig;950
Großbothen;Siedlung;Leipzig;1.350
Großdalzig;Siedlung;Leipzig;550
Großdeuben;Siedlung;Leipzig;1.470
Großdittmannsdorf;Siedlung;Meißen;710
Großdrebnitz;Siedlung;Bautzen;1.080
Groß Düben (D__win);Siedlung;Görlitz;620
Großdubrau (Wulka Dubrawa);Siedlung;Bautzen;1.660
Großenhain;Siedlung;Meißen;13.200
Großerkmannsdorf;Siedlung;Bautzen;1.330
Großfriesen;Siedlung;Vogtlandkreis;680
Großharthau;Siedlung;Bautzen;1.360
Großhartmannsdorf;Siedlung;Mittelsachsen;1.430
Großhennersdorf;Siedlung;Görlitz;1.190
Großlehna - Altranstädt;Siedlung;Leipzig;2.260
Großnaundorf;Siedlung;Bautzen;870
Großolbersdorf;Siedlung;Erzgebirgskreis;2.000
Großpösna;Siedlung;Leipzig;3.630
Großpostwitz/O.L.;Siedlung;Bautzen;1.890
Großröhrsdorf;Siedlung;Bautzen;5.960
Großrückerswalde;Siedlung;Erzgebirgskreis;2.110
Groß Särchen (Wulke _d_ary);Siedlung;Bautzen;1.130
Großschirma;Siedlung;Mittelsachsen;1.670
Großschönau;Siedlung;Görlitz;4.620
Großschweidnitz;Siedlung;Görlitz;1.260
Großsteinberg;Siedlung;Leipzig;1.010
Großvoigtsberg;Siedlung;Mittelsachsen;670
Großwaltersdorf;Siedlung;Mittelsachsen;920
Großweitzschen;Siedlung;Mittelsachsen;600
Großwig;Siedlung;Nordsachsen;520
Grubnitz;Siedlung;Meißen;560
Grumbach;Siedlung;Erzgebirgskreis;590
Grumbach;Siedlung;Sächsische Schweiz-Osterzgebirge;1.560
Grünbach;Siedlung;Vogtlandkreis;1.580
Grünfeld;Siedlung;Zwickau;920
Grünhain;Siedlung;Erzgebirgskreis;2.260
Grünhainichen;Siedlung;Erzgebirgskreis;1.190
Grünlichtenberg;Siedlung;Mittelsachsen;590
Grünstädtel - Pöhla;Siedlung;Erzgebirgskreis;1.750
Hagenwerder;Siedlung;Görlitz;830
Hainewalde;Siedlung;Görlitz;1.590
Hainichen;Siedlung;Mittelsachsen;6.990
Hallbach;Siedlung;Erzgebirgskreis;500
Halsbrücke;Siedlung;Mittelsachsen;1.590
Hammerbrücke - Friedrichsgrün;Siedlung;Vogtlandkreis;1.200
Hammermühle;Siedlung;Nordsachsen;860
Hänichen - Rippien;Siedlung;Sächsische Schweiz-Osterzgebirge;2.200
Hartenstein;Siedlung;Zwickau;3.510
Hartha;Siedlung;Mittelsachsen;5.020
Hartmannsdorf;Siedlung;Mittelsachsen;4.490
Hartmannsdorf b. Kirchberg;Siedlung;Zwickau;1.250
Haselbachtal;Siedlung;Bautzen;2.930
Heidenau;Siedlung;Sächsische Schweiz-Osterzgebirge;15.900
Heinrichsort;Siedlung;Zwickau;1.160
Heinsdorfergrund;Siedlung;Vogtlandkreis;2.150
Hermannsdorf;Siedlung;Erzgebirgskreis;780
Hermsdorf;Siedlung;Bautzen;990
